ERROR: 404 @ 02:34:38 | 14-07-15 | league and tier | URL: https://euw.api.pvp.net/api/lol/euw/v2.5/league/by-summoner/23115484?api_key=**REDACTED** 
ERROR: 404 @ 02:34:39 | 14-07-15 | champions on ranked | URL: https://euw.api.pvp.net/api/lol/euw/v1.3/stats/by-summoner/23115484/ranked?season=SEASON2015&api_key=**REDACTED** 
ERROR: 503 @ 02:35:48 | 14-07-15 | league and tier | URL: https://euw.api.pvp.net/api/lol/euw/v2.5/league/by-summoner/23115484?api_key=**REDACTED** 
ERROR: 404 @ 02:35:48 | 14-07-15 | champions on ranked | URL: https://euw.api.pvp.net/api/lol/euw/v1.3/stats/by-summoner/23115484/ranked?season=SEASON2015&api_key=**REDACTED** 
ERROR: 405 @ 02:36:19 | 14-07-15 | league and tier | URL: https://euw.api.pvp.net/api/lol/euw/v2.5/league/by-summoner/23115484?api_key=**REDACTED** 
ERROR: 404 @ 02:36:20 | 14-07-15 | champions on ranked | URL: https://euw.api.pvp.net/api/lol/euw/v1.3/stats/by-summoner/23115484/ranked?season=SEASON2015&api_key=**REDACTED** 
ERROR: 405 @ 02:36:43 | 14-07-15 | league and tier | URL: https://euw.api.pvp.net/api/lol/euw/v2.5/league/by-summoner/23115484?api_key=**REDACTED** 
ERROR: 404 @ 02:36:44 | 14-07-15 | champions on ranked | URL: https://euw.api.pvp.net/api/lol/euw/v1.3/stats/by-summoner/23115484/ranked?season=SEASON2015&api_key=**REDACTED** 
ERROR: 405 @ 02:37:08 | 14-07-15 | league and tier | URL: https://euw.api.pvp.net/api/lol/euw/v2.5/league/by-summoner/23115484?api_key=**REDACTED** 
ERROR: 404 @ 02:37:09 | 14-07-15 | champions on ranked | URL: https://euw.api.pvp.net/api/lol/euw/v1.3/stats/by-summoner/23115484/ranked?season=SEASON2015&api_key=**REDACTED** 
ERROR: 404 @ 02:37:30 | 14-07-15 | name and playerID | URL: https://euw.api.pvp.net/api/lol/euw/v1.4/summoner/by-name/tr00yz?api_key=**REDACTED** 
ERROR: 404 @ 02:37:31 | 14-07-15 | champions on ranked | URL: https://euw.api.pvp.net/api/lol/euw/v1.3/stats/by-summoner//ranked?season=SEASON2015&api_key=**REDACTED** 
ERROR: 405 @ 02:37:39 | 14-07-15 | league and tier | URL: https://euw.api.pvp.net/api/lol/euw/v2.5/league/by-summoner/23115484?api_key=**REDACTED** 
ERROR: 404 @ 02:37:40 | 14-07-15 | champions on ranked | URL: https://euw.api.pvp.net/api/lol/euw/v1.3/stats/by-summoner/23115484/ranked?season=SEASON2015&api_key=**REDACTED** 
ERROR: 404 @ 02:37:47 | 14-07-15 | champions on ranked | URL: https://euw.api.pvp.net/api/lol/euw/v1.3/stats/by-summoner//ranked?season=SEASON2015&api_key=**REDACTED** 
